数据库：月度数据
时间：2023
指标,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月
火力发电量当期值(亿千瓦时),6109.1,5076.7,4654.1,4973.0,5890.5,5997.4,5228.5,4712.5,4494.4,5145.9,
火力发电量累计值(亿千瓦时),62318.0,56177.9,51077.1,46396.9,41389.5,35473.7,29457.0,24205.8,19467.0,14950.9,9756.6
火力发电量同比增长(%),9.3,6.3,4.0,2.3,-2.2,7.2,14.2,15.9,11.5,9.1,
火力发电量累计增长(%),6.1,5.7,5.7,5.8,6.1,7.5,7.5,6.2,4.0,1.7,-2.3
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
