数据库：月度数据
时间：2023
指标,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月
水力发电量当期值(亿千瓦时),775.0,829.9,1222.5,1393.8,1466.2,1211.3,982.1,820.2,683.6,683.5,
水力发电量累计值(亿千瓦时),11408.9,10635.7,9804.9,8583.9,7187.4,5717.0,4504.2,3523.4,2708.7,2035.1,1366.7
水力发电量同比增长(%),2.5,5.4,21.8,39.2,18.5,-17.5,-33.9,-32.9,-25.9,-15.5,
水力发电量累计增长(%),-5.6,-6.2,-7.1,-10.1,-15.9,-21.8,-22.9,-19.2,-13.7,-8.3,-3.4
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
