数据库：月度数据
时间：2023
指标,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月
发电量当期值(亿千瓦时),8289.8,7309.7,7043.5,7456.1,8449.9,8461.7,7399.0,6885.8,6583.5,7172.9,
发电量累计值(亿千瓦时),89090.8,80732.2,73330.0,66219.2,58662.6,50130.4,41679.6,34216.4,27309.2,20711.8,13497.3
发电量同比增长(%),8.0,8.4,5.2,7.7,1.1,3.6,2.8,5.6,6.1,5.1,
发电量累计增长(%),5.2,4.8,4.4,4.2,3.6,3.8,3.8,3.9,3.4,2.4,0.7
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
