数据库：月度数据
时间：2023
指标,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月
风力发电量当期值(亿千瓦时),814.2,803.9,563.1,497.7,440.6,613.7,557.5,743.6,829.3,734.8,
风力发电量累计值(亿千瓦时),8090.5,7251.9,6424.3,5836.8,5308.4,4835.9,4246.4,3662.8,2909.3,2080.1,1336.8
风力发电量同比增长(%),7.4,26.6,-13.1,-1.6,-11.5,25.0,-1.8,15.3,20.9,0.2,
风力发电量累计增长(%),12.3,12.5,10.8,13.4,14.4,16.8,16.0,18.4,18.8,18.1,30.2
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
