数据库：月度数据
时间：2023
指标,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月
太阳能发电量当期值(亿千瓦时),210.5,234.6,244.3,246.1,269.2,258.9,259.3,240.6,230.9,242.9,
太阳能发电量累计值(亿千瓦时),2939.7,2714.0,2435.7,2172.9,1894.0,1604.0,1352.7,1076.9,845.6,612.3,369.6
太阳能发电量同比增长(%),17.2,35.4,15.3,6.8,13.9,6.4,8.8,0.1,-3.3,13.9,
太阳能发电量累计增长(%),17.2,16.8,12.5,11.3,9.9,7.9,7.4,5.7,7.5,11.8,9.3
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
