数据库：月度数据
时间：2023
指标,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月
核能发电量当期值(亿千瓦时),380.6,364.6,359.4,345.3,383.3,380.4,371.6,368.9,345.2,365.7,
核能发电量累计值(亿千瓦时),4332.6,3951.9,3587.3,3227.9,2882.6,2499.3,2118.9,1747.3,1378.4,1033.2,667.5
核能发电量同比增长(%),-4.2,-2.4,-0.2,6.7,5.5,2.9,13.8,6.3,5.7,4.6,
核能发电量累计增长(%),3.7,4.5,5.3,6.0,5.9,5.9,6.5,5.0,4.7,4.4,4.3
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
