层级,地区,2021年排放因子,2021年单位,2022年排放因子,2022年单位
全国,全国,0.5568,kgCO₂/kWh,0.5366,kgCO₂/kWh
区域,华北,0.712,kgCO₂/kWh,0.6776,kgCO₂/kWh
区域,东北,0.6012,kgCO₂/kWh,0.5564,kgCO₂/kWh
区域,华东,0.5992,kgCO₂/kWh,0.5617,kgCO₂/kWh
区域,华中,0.5354,kgCO₂/kWh,0.5395,kgCO₂/kWh
区域,西北,0.5951,kgCO₂/kWh,0.5857,kgCO₂/kWh
区域,南方,0.4326,kgCO₂/kWh,0.3869,kgCO₂/kWh
区域,西南,0.2113,kgCO₂/kWh,0.2268,kgCO₂/kWh
