过程类别,产品类型,排放因子,单位
熟料生产过程,硅酸盐水泥熟料,0.528,tCO₂/t
熟料生产过程,白色硅酸盐水泥熟料,0.549,tCO₂/t
熟料生产过程,硫（铁）铝酸盐水泥熟料,0.364,tCO₂/t
熟料生产过程,铝酸盐水泥熟料,0.130,tCO₂/t
