类别,因子名称,2021年排放因子,2021年单位,2022年排放因子,2022年单位
特殊因子,全国电力平均二氧化碳排放因子（不包括市场化交易的非化石能源电量）,0.5942,kgCO₂/kWh,0.5856,kgCO₂/kWh
特殊因子,全国化石能源电力二氧化碳排放因子,0.8426,kgCO₂/kWh,0.8325,kgCO₂/kWh
