过程类别,产品类型,排放因子,单位
碳酸盐使用过程,方解石、文石和石灰石（CaCO₃）,0.44,tCO₂/t碳酸盐
碳酸盐使用过程,菱镁石（MgCO₃）,0.522,tCO₂/t碳酸盐
碳酸盐使用过程,碳酸钠或纯碱（Na₂CO₃）,0.415,tCO₂/t碳酸盐
碳酸盐使用过程,碳酸氢钠（NaHCO₃）,0.524,tCO₂/t碳酸盐
碳酸盐使用过程,菱铁矿或碳酸铁（FeCO₃）,0.38,tCO₂/t碳酸盐
碳酸盐使用过程,菱锰矿（MnCO₃）,0.383,tCO₂/t碳酸盐
碳酸盐使用过程,碳酸钡（BaCO₃）,0.223,tCO₂/t碳酸盐
碳酸盐使用过程,碳酸锂（Li₂CO₃）,0.595,tCO₂/t碳酸盐
碳酸盐使用过程,碳酸钾（K₂CO₃）,0.318,tCO₂/t碳酸盐
碳酸盐使用过程,碳酸锶（SrCO₃）,0.298,tCO₂/t碳酸盐
碳酸盐使用过程,白云石（CaMg(CO₃)₂）,0.477,tCO₂/t碳酸盐
碳酸盐使用过程,"铁白云石（Ca(Fe,Mg,Mn)(CO₃)₂）",0.408~0.47572,tCO₂/t碳酸盐
