数据库：月度数据
时间：2024
指标,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月
发电量当期值(亿千瓦时),8462.4,7495.1,7310.0,8023.6,9074.2,8831.1,7685.2,7178.5,6900.8,7476.9,
发电量累计值(亿千瓦时),94180.6,85687.5,78027.2,70560.4,62378.8,53239.3,44354.5,36569.7,29328.7,22371.6,14870.3
发电量同比增长(%),0.6,0.9,2.1,6.0,5.8,2.5,2.3,2.3,3.1,2.8,
发电量累计增长(%),4.6,5.0,5.2,5.4,5.1,4.8,5.2,5.5,6.1,6.7,8.3
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
