数据库：月度数据
时间：2024
指标,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月
太阳能发电量当期值(亿千瓦时),315.4,298.3,323.0,323.4,386.1,359.7,352.3,358.7,314.0,311.1,
太阳能发电量累计值(亿千瓦时),4190.8,3856.4,3472.2,3073.1,2695.1,2281.8,1899.3,1495.2,1114.0,783.2,490.3
太阳能发电量同比增长(%),28.5,10.3,12.6,12.7,21.7,16.4,18.1,29.1,21.4,15.8,
太阳能发电量累计增长(%),28.2,27.8,27.5,27.0,26.6,26.4,27.1,25.3,20.4,17.5,15.4
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
