数据库：月度数据
时间：2024
指标,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月
火力发电量当期值(亿千瓦时),5975.0,5174.7,4770.6,5451.4,6148.8,5749.2,4870.1,4538.4,4578.7,5200.7,
火力发电量累计值(亿千瓦时),63437.7,57441.7,52230.5,47438.8,41967.7,35813.9,30052.7,25172.6,20621.9,16028.0,10801.9
火力发电量同比增长(%),-2.6,1.4,1.8,8.9,3.7,-4.9,-7.4,-4.3,1.3,0.5,
火力发电量累计增长(%),1.5,1.9,1.9,1.9,1.0,0.5,1.7,3.6,5.5,6.6,9.7
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
