数据库：月度数据
时间：2024
指标,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月
核能发电量当期值(亿千瓦时),423.9,375.8,367.3,355.1,402.1,396.7,356.5,360.1,365.7,348.1,
核能发电量累计值(亿千瓦时),4449.0,4025.2,3642.8,3275.5,2920.4,2518.2,2121.5,1764.9,1404.9,1039.2,691.1
核能发电量同比增长(%),11.4,3.1,2.2,2.8,4.9,4.3,-4.0,-2.4,5.9,-4.8,
核能发电量累计增长(%),2.7,1.9,1.5,1.5,1.3,0.8,0.1,1.0,1.9,0.6,3.5
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
