数据库：月度数据
时间：2024
指标,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月
水力发电量当期值(亿千瓦时),827.2,822.7,1049.2,1199.3,1634.7,1664.5,1437.6,1149.9,834.8,712.0,
水力发电量累计值(亿千瓦时),12742.5,11926.3,11100.7,10039.7,8822.0,7188.0,5525.8,4088.5,2937.4,2101.7,1389.6
水力发电量同比增长(%),5.5,-1.9,-14.9,-14.6,10.7,36.2,44.5,38.6,21.0,3.1,
水力发电量累计增长(%),10.7,11.2,12.2,16.0,21.7,24.5,21.4,14.9,7.5,2.2,0.8
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
