数据库：月度数据
时间：2024
指标,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月
风力发电量当期值(亿千瓦时),920.9,823.6,799.9,694.3,502.4,660.9,668.6,771.5,807.6,905.0,
风力发电量累计值(亿千瓦时),9360.5,8437.7,7580.9,6733.2,5973.5,5437.3,4755.2,4048.3,3250.4,2419.4,1497.3
风力发电量同比增长(%),6.6,-3.3,34.0,31.6,6.6,0.9,12.7,-3.3,-8.4,16.8,
风力发电量累计增长(%),11.1,11.5,13.1,10.8,7.6,7.1,6.9,5.0,6.3,11.0,5.8
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
