数据库：月度数据
时间：2022
指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月
发电量当期值(亿千瓦时),7578.5,6666.7,6610.0,6830.0,8248.0,8059.2,7090.3,6410.2,6085.7,6701.7,
发电量累计值(亿千瓦时),83886.3,76285.8,69576.1,62867.4,55975.2,47725.6,39631.1,32483.8,26029.3,19922.2,13140.6
发电量同比增长(%),3.0,0.1,1.3,-0.4,9.9,4.5,1.5,-3.3,-4.3,0.2,
发电量累计增长(%),2.2,2.1,2.2,2.2,2.5,1.4,0.7,0.5,1.3,3.1,4.0
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
