数据库：月度数据
时间：2022
指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月
太阳能发电量当期值(亿千瓦时),161.6,157.5,190.0,201.8,206.4,210.8,205.6,206.7,205.5,186.5,
太阳能发电量累计值(亿千瓦时),2290.0,2125.3,1968.2,1749.9,1535.7,1319.0,1107.1,887.2,683.2,479.2,294.7
太阳能发电量同比增长(%),3.2,-0.0,24.7,18.9,10.9,13.0,9.9,8.3,24.9,16.8,
太阳能发电量累计增长(%),14.3,14.6,16.7,14.4,13.2,13.0,13.5,12.9,14.8,10.3,6.5
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
