数据库：月度数据
时间：2022
指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月
水力发电量当期值(亿千瓦时),747.1,779.5,993.5,989.9,1226.5,1462.6,1481.2,1217.0,917.9,805.2,
水力发电量累计值(亿千瓦时),12020.0,11282.2,10499.8,9506.8,8516.7,7288.3,5828.2,4345.6,3130.0,2211.7,1400.0
水力发电量同比增长(%),3.6,-14.2,-17.7,-30.0,-11.0,2.4,29.0,26.7,17.4,19.8,
水力发电量累计增长(%),1.0,0.9,2.2,5.0,11.4,16.3,20.3,17.5,14.3,12.7,8.2
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
