数据库：月度数据
时间：2022
指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月
核能发电量当期值(亿千瓦时),397.3,373.6,360.1,323.5,363.2,369.7,326.6,346.9,326.7,349.8,
核能发电量累计值(亿千瓦时),4177.8,3780.4,3406.8,3046.4,2722.9,2359.7,1989.9,1663.3,1316.5,989.8,640.0
核能发电量同比增长(%),6.6,11.1,7.4,-2.7,-0.6,-3.3,-9.0,1.3,0.9,2.2,
核能发电量累计增长(%),2.5,2.1,1.2,0.5,0.9,1.1,2.0,4.5,5.4,6.9,9.6
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
