数据库：月度数据
时间：2022
指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月
火力发电量当期值(亿千瓦时),5549.5,4754.1,4453.1,4838.7,5989.3,5559.6,4552.6,4045.1,4007.7,4687.7,
火力发电量累计值(亿千瓦时),58531.3,52953.0,48187.9,43693.5,38826.7,32853.9,27276.8,22711.7,18634.7,14614.1,9863.7
火力发电量同比增长(%),1.3,1.4,3.2,6.1,14.8,5.3,-6.0,-10.9,-11.8,-5.7,
火力发电量累计增长(%),0.9,0.8,0.8,0.5,-0.2,-2.5,-3.9,-3.5,-1.8,1.3,4.3
注：主要能源产品产量月度统计范围为规模以上工业法人单位，即年主营业务收入2000万元及以上的工业企业。
数据来源：国家统计局
