0
price(RMB/ton)
highest(RMB/ton)
lower(RMB/ton)
close(RMB/ton)
upper(percent)
daily_total_volume(tons)
daily_total_transaction_volume(RMB)
price_range
price_change
body_ratio
MA_3
MA_5
MA_10
MA_20
Volume_MA_3
Volume_MA_5
Volume_MA_10
Volume_MA_20
RSI_14
close_lag_1
close_lag_2
close_lag_3
close_lag_5
volume_lag_1
volume_lag_2
volume_lag_3
volume_lag_5
price_momentum_1
price_momentum_2
price_momentum_3
price_momentum_5
volatility_5
volatility_10
volume_ratio
price_volume_corr
